#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
9128,COROADOS,3512506,SP,SÃO PAULO,35
8624,AMERICANA,3501608,SP,SÃO PAULO,35
21852,NOVA RESENDE,3145109,MG,MINAS GERAIS,31
28790,SANTO HIPÓLITO,3160603,MG,MINAS GERAIS,31
6798,SANTANA DO MATOS,2411403,RN,RIO GRANDE DO NORTE,24
10014,SANTA RITA,2110203,MA,MARANHÃO,21
9726,BURITIS,3109303,MG,MINAS GERAIS,31
25511,ALFREDO WAGNER,4200705,SC,SANTA CATARINA,42
9805,QUELUZITO,3153806,MG,MINAS GERAIS,31
25717,UNIÃO,2211100,PI,PIAUÍ,22
45797,IVATÉ,4111555,PR,PARANÁ,41
16025,REMANSO,2926004,BA,BAHIA,29
2943,RIO FORMOSO,2611903,PE,PERNAMBUCO,26
45285,DEZESSEIS DE NOVEMBRO,4306353,RS,RIO GRANDE DO SUL,43
3148,PIRANGUINHO,3151008,MG,MINAS GERAIS,31
27715,SALTO DO ITARARÉ,4122909,PR,PARANÁ,41
52144,BONÓPOLIS,5203575,GO,GOIÁS,52
10681,LAJE DO MURIAÉ,3302304,RJ,RIO DE JANEIRO,33
8569,CLARO DOS POÇÕES,3116506,MG,MINAS GERAIS,31
55732,MAMPITUBA,4311734,RS,RIO GRANDE DO SUL,43
47843,SOBRADO,2515971,PB,PARAÍBA,25
10894,MARANGUAPE,2307700,CE,CEARÁ,23
48536,SÃO PEDRO DO IGUAÇU,4125753,PR,PARANÁ,41
49535,CALMON,4203154,SC,SANTA CATARINA,42
37437,BARÃO DE COCAIS,3105400,MG,MINAS GERAIS,31
20217,IBIRATAIA,2912905,BA,BAHIA,29
20808,MIRACATU,3529906,SP,SÃO PAULO,35
37987,CARAPICUÍBA,3510609,SP,SÃO PAULO,35
36861,PARNARAMA,2107803,MA,MARANHÃO,21
4006,NOVA VENÉCIA,3203908,ES,ESPÍRITO SANTO,32
32449,CAPITÃO LEÔNIDAS MARQUES,4104600,PR,PARANÁ,41
17581,MONSENHOR TABOSA,2308609,CE,CEARÁ,23
6066,ALMINO AFONSO,2400604,RN,RIO GRANDE DO NORTE,24
27076,GUARATINGUETÁ,3518404,SP,SÃO PAULO,35
56157,IGARACY,2502607,PB,PARAÍBA,25
27595,LAVRINHAS,3526605,SP,SÃO PAULO,35
6963,CAREIRO,1301100,AM,AMAZONAS,13
50270,FERVEDOURO,3125952,MG,MINAS GERAIS,31
51097,MESÓPOLIS,3529658,SP,SÃO PAULO,35
27928,SAPOPEMA,4126207,PR,PARANÁ,41
6389,CRATO,2304202,CE,CEARÁ,23
19840,GALVÃO,4205605,SC,SANTA CATARINA,42
47867,BERNARDINO BATISTA,2502052,PB,PARAÍBA,25
55567,BOA VISTA DO SUL,4302253,RS,RIO GRANDE DO SUL,43
23001,MUNIZ FREIRE,3203700,ES,ESPÍRITO SANTO,32
16180,LEOPOLDO DE BULHÕES,5212303,GO,GOIÁS,52
41557,SALTO DO CÉU,5107750,MT,MATO GROSSO,51
30520,GOVERNADOR MANGABEIRA,2911600,BA,BAHIA,29
11587,FELISBURGO,3125606,MG,MINAS GERAIS,31
19792,SANTO ANTÔNIO DE LISBOA,2209401,PI,PIAUÍ,22
25418,BILAC,3506409,SP,SÃO PAULO,35
11666,BETIM,3106705,MG,MINAS GERAIS,31
53026,CONFINS,3117876,MG,MINAS GERAIS,31
3564,CONCEIÇÃO DA FEIRA,2908200,BA,BAHIA,29
50586,BURITI DE GOIÁS,5203939,GO,GOIÁS,52
